0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:54:36 +0800] "GET /CGA105G7/back-end/images/JavaTime.png HTTP/1.1" 200 893677
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:54:43 +0800] "POST /CGA105G7/back-end/Location/loc.do HTTP/1.1" 200 20602
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:54:43 +0800] "GET /CGA105G7/back-end/css/back.css HTTP/1.1" 200 3659
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:54:43 +0800] "GET /CGA105G7/back-end/css/listAllLoc.css HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:54:43 +0800] "GET /CGA105G7/back-end/js/Loc.js HTTP/1.1" 200 4971
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:54:43 +0800] "GET /CGA105G7/back-end/images/logo.png HTTP/1.1" 200 204378
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:54:43 +0800] "GET /CGA105G7/back-end/images/JavaTime.png HTTP/1.1" 200 893677
0:0:0:0:0:0:0:1 - - [22/Jan/2023:12:33:25 +0800] "POST /CGA105G7/back-end/Location/loc.do HTTP/1.1" 200 20371
0:0:0:0:0:0:0:1 - - [22/Jan/2023:12:33:25 +0800] "GET /CGA105G7/back-end/css/back.css HTTP/1.1" 200 3659
0:0:0:0:0:0:0:1 - - [22/Jan/2023:12:33:25 +0800] "GET /CGA105G7/back-end/css/listAllLoc.css HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [22/Jan/2023:12:33:25 +0800] "GET /CGA105G7/back-end/js/Loc.js HTTP/1.1" 200 4876
0:0:0:0:0:0:0:1 - - [22/Jan/2023:12:33:25 +0800] "GET /CGA105G7/back-end/images/logo.png HTTP/1.1" 200 204378
0:0:0:0:0:0:0:1 - - [22/Jan/2023:12:33:25 +0800] "GET /CGA105G7/back-end/images/JavaTime.png HTTP/1.1" 200 893677
0:0:0:0:0:0:0:1 - - [22/Jan/2023:12:33:27 +0800] "POST /CGA105G7/back-end/Location/loc.do HTTP/1.1" 200 20371
0:0:0:0:0:0:0:1 - - [22/Jan/2023:12:33:27 +0800] "GET /CGA105G7/back-end/css/back.css HTTP/1.1" 200 3659
0:0:0:0:0:0:0:1 - - [22/Jan/2023:12:33:27 +0800] "GET /CGA105G7/back-end/css/listAllLoc.css HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [22/Jan/2023:12:33:27 +0800] "GET /CGA105G7/back-end/js/Loc.js HTTP/1.1" 200 4876
0:0:0:0:0:0:0:1 - - [22/Jan/2023:12:33:27 +0800] "GET /CGA105G7/back-end/images/logo.png HTTP/1.1" 200 204378
0:0:0:0:0:0:0:1 - - [22/Jan/2023:12:33:27 +0800] "GET /CGA105G7/back-end/images/JavaTime.png HTTP/1.1" 200 893677
0:0:0:0:0:0:0:1 - - [22/Jan/2023:12:33:27 +0800] "GET /CGA105G7/back-end/images/logo.png HTTP/1.1" 200 204378
